Id,SalePrice
1461,117100.98802734938
1462,160428.21116979668
1463,185730.69049967235
1464,198349.31566395736
1465,193470.18744506835
1466,170084.1418732524
1467,175036.98569987578
1468,162359.5036625379
1469,191473.30954271313
1470,125097.75873386503
1471,192009.4296409741
1472,94858.05418594554
1473,95002.9274738736
1474,145900.25567110075
1475,111735.53040936115
1476,355005.2735425202
1477,250678.42781712397
1478,282824.6097593703
1479,284617.89520781685
1480,486093.3570800232
1481,340144.183646989
1482,214565.80443273956
1483,181597.63062146612
1484,165409.91193807987
1485,187557.79552193312
1486,195742.73512448795
1487,327852.02995172906
1488,238809.3114697206
1489,195324.1017973039
1490,241335.18411018344
1491,196249.48869835184
1492,91817.37243357241
1493,185391.52297949482
1494,299445.56883327186
1495,289030.7614921725
1496,240527.99750580743
1497,177198.62991773206
1498,173628.21358097074
1499,163831.06647323532
1500,157415.84201474985
1501,182285.8131578375
1502,142375.4039182223
1503,280762.41370139894
1504,240988.6522134328
1505,228097.33663470548
1506,186705.643366969
1507,256738.23184962498
1508,203793.1997990948
1509,161432.48846280304
1510,146409.82501677793
1511,154408.7048597475
1512,175814.91784608268
1513,148949.41968259503
1514,163788.3438301855
1515,200300.4137274666
1516,153495.8883960279
1517,170317.45266821215
1518,125494.2951666539
1519,219819.58853805027
1520,127853.56714869708
1521,131428.95557294038
1522,180517.87405474225
1523,111177.13296295759
1524,125703.71188311983
1525,123216.52193097958
1526,114917.62236855942
1527,106036.63495273844
1528,132462.47222210246
1529,154601.44041485412
1530,184697.93913170704
1531,109178.46487630592
1532,95057.93379945433
1533,152723.81583461547
1534,118042.70025532591
1535,149788.2850140065
1536,108249.2696954021
1537,65125.079507404276
1538,164747.75540112145
1539,205890.05827645605
1540,101575.50177905273
1541,143364.10082187146
1542,137536.71923939566
1543,195064.9707210701
1544,87197.80354980944
1545,120338.23803236717
1546,135980.816648283
1547,135024.38621436618
1548,137783.40026980411
1549,119281.81143364207
1550,138632.4663773044
1551,108460.90909559657
1552,142662.14955505627
1553,148038.03526531986
1554,123699.41501072812
